Property Name,Tax Parcel,Property Type,Address,Gross Area (sq ft),Property Uses,Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Onsite Renewable (kWh),ENERGY STAR Score
Piano Row,500031000,Residence Hall/Dormitory,144/150 Boylston St,199874,Residence Hall/Dormitory,16261444.5,0.3776,0.53,0.6171,,,,,,48
216 Tremont,304909000,College/University,216 Tremont Street,45388,College/University,2537987.7,0.4827,,0.5173,,,,,,
Colonial Theater,500045000,Performing Arts,98-106 Boylston Streeet,172349,Performing Arts,6832776.1,0.6411,,0.3589,,,,,,
Ansin Building,304890100,College/University,180 Tremont St,98744,College/University,5136248.8,0.9776,,0.224,,,,,,
80 Boylston St./ The Little Building,500001001,Residence Hall/Dormitory,80 Boylston Street,216877,Residence Hall/Dormitory,18214315.9,0.632,,0.3698,,,,,,29
543-547 Washington Street,304839010,College/University,543-547 Washington Street,146942,College/University,15408359.1,0.5982,0.96,0.3922,,,,,,
2 Boylston Place,304908000,Residence Hall/Dormitory,2 Boylston Place,103963,Residence Hall/Dormitory,5385082.1,0.6371,,0.3629,,,,,,73
Walker Building,500043011,College/University,120 Boylston St,176296,College/University,13593093.6,0.6197,,0.383,,,,,,
Museum of Fine Arts Parking Garage,401808000,Parking,20 Museum Rd,163000,Parking,Not Available,,,,,,,,,
Morgan Memorial Goodwill Inc,802375000,Retail Store,1010 Harrison Ave,168000,"Parking, Retail Store",4829208.4,0.567,0.4393,,,,,,,88
1960-1980 Commonwealth Ave.,02469-000,Multifamily Housing,"1960,1970,1980 Commonwealth Ave.",141204,Multifamily Housing,12508221.9,0.195,0.895,,,,,,,44
Wilkes Passage Lofts Condominium,306010010,Multifamily Housing,1313 Washington Street,394950,"Multifamily Housing, Parking",12966542.8,0.4512,0.5488,,,,,,,94
Huntington Ave Theatre,402290000,Performing Arts,264 Huntington Ave,41896,Performing Arts,3246192,0.2139,0.7861,,,,,,,
234 Berk,501295000,Retail Store,234 Berkeley Street,44000,Retail Store,Not Available,,,,,,,,,
Catherine Clark: Catherine Clark,1301910000,Multifamily Housing,915 Dorchester Avenue,74185,Multifamily Housing,7510449.3,0.389,0.6911,,,,,,,18
Marcus Garvey,903557000,Multifamily Housing,42 John Eliot Square,144181,Multifamily Housing,10188434.1,0.364,0.6936,,,,,,,60
Hemenway Apartments,401797000,Multifamily Housing,491 Huntington Ave,70300,Multifamily Housing,7130106.3,0.2126,0.7874,,,,,,,35
Prang Estates: Prang Estates,903453000,Multifamily Housing,45 Centre Street,48273,Multifamily Housing,3553628.6,0.1688,0.8312,,,,,,,50
Sarah Baker Manor: Sarah Baker Manor,1200353000,Multifamily Housing,33 Perrin Street,34484,Multifamily Housing,3732225.9,0.528,,,0.9472,,,,,32
Maple Commons: Maple Commons,1202491000,Multifamily Housing,15 Maple Street,27344,Multifamily Housing,2420153.4,0.2,0.8,,,,,,,66
Taurus Apartments: Taurus Apartments,1201992000,Multifamily Housing,120 Humboldt Avenue,42336,Multifamily Housing,3447003.1,0.245,0.7955,,,,,,,29
Wayne at Franklin Hill: Wayne at Franklin Hill,1404338000,Multifamily Housing,140 American Legion Highway,78266,Multifamily Housing,5726079.8,0.2114,0.7886,,,,,,,63
Robert Fortes: 541 Shawmut Ave.,900939000,Multifamily Housing,541 Shawmut Ave,43425,Multifamily Housing,2095147.7,0.395,0.695,,,,,,,87
Roxbury Crossing Maria Sanchez: Maria Sanchez House,902921010,Multifamily Housing,30 Gurney Street,34700,Multifamily Housing,1995457.6,0.3392,0.668,,,,,,,60
West End Place,300471002; 300471004,Multifamily Housing,150 Staniford Street,289457,"Multifamily Housing, Parking, Retail Store",14558011.8,0.339,0.661,,,,,,,84
140 Clarendon,401085000,Mixed Use Property,140 Clarendon Street,193965,"Hotel, Multifamily Housing, Office, Other, Other - Lodging/Residential",13468956.6,0.5365,,0.4635,,,,,,
Columbia Road Apartments,1502435000,Multifamily Housing,414 Columbia Road,26444,Multifamily Housing,1494603.3,0.255,0.7495,,,,,,,80
Morville House: 100 Norway Street,401452000,Multifamily Housing,100 Norway Street,152987,Multifamily Housing,9939166.5,0.258,0.742,,,,,,,77
Brighton-Allston Apartments,2204054000,Multifamily Housing,493 501 WASHINGTON ST,39006,Multifamily Housing,3081305.1,0.151,0.849,,,,,,,59
Viviendas: 100 West Dedham,900080000,Multifamily Housing,100 West Dedham,63968,Multifamily Housing,6283131.6,0.2188,0.7812,,,,,,,33
Rockland Street Elderly: Rockland Street Elderly,1200724000,Multifamily Housing,30 Rockland Street,32980,Multifamily Housing,1847372.2,0.3333,0.6667,,,,,,,68
Riley House: 39 Maple Avenue,1809143010,Multifamily Housing,39 Maple Avenue,46834,Multifamily Housing,2386307.8,0.3869,0.6131,,,,,,,50
Charlesbank Apartments: 650 Huntington Avenue,1000015000,Multifamily Housing,650 Huntington Avenue,210000,Multifamily Housing,12840917.1,0.314,0.6896,,,,,,,84
McBride House/St Cecilia's: StC-108 Kilmarnock st,504281010,Multifamily Housing,StC-108 Kilmarnock st,80731,Multifamily Housing,4664923.5,0.3592,0.648,,,,,,,89
St. Helena's House: 89 Union Park Street,801080000,Multifamily Housing,89 Union Park St,85828,Multifamily Housing,4783208,0.299,0.791,,,,,,,83
Catherine Hardaway Building (CBES): 2311 Washington st,903130010,Multifamily Housing,2311 Washington st,49588,Multifamily Housing,3350171,0.4376,0.5624,,,,,,,45
Oak Terrace Apartments,305484010,Multifamily Housing,888 Washington Street,110224,Multifamily Housing,6811426.2,0.2222,0.7778,,,,,,,93
Geneva Avenue Elderly Housing: 22 Beechwood Street,1400035000,Multifamily Housing,22 Beechwood Street,42420,Multifamily Housing,2151875.6,0.4632,0.5368,,,,,,,77
One Gurney: 1 Gurney Street,902908050,Multifamily Housing,1 Gurney Street,77529,Multifamily Housing,4245913.2,0.4556,0.5444,,,,,,,64
88 Hudson: 88 Hudson Street,304981010,Multifamily Housing,88 Hudson Street,59992,Multifamily Housing,3010462.6,0.2897,0.713,,,,,,,95
Wilder Gardens,1400731000,Multifamily Housing,36 Bishop Joe L. Smith Way,70756,Multifamily Housing,4503512.3,0.2715,0.7285,,,,,,,87
Franklin Highlands: 278-280 Humboldt Avenue,1202327000,Multifamily Housing,278-280 Humboldt Avenue,29706,Multifamily Housing,1859993,0.284,0.7916,,,,,,,77
Columbia Road Apts: 422 Columbia Road,1502434000,Multifamily Housing,422 Columbia Road,31548,Multifamily Housing,2081255.3,0.199,0.891,,,,,,,82
Mattapan Center for Life: 555 River Street,1801691020,Multifamily Housing,555 River Street,52970,Multifamily Housing,2785369.7,0.2564,0.7436,,,,,,,64
Rollins Square,306455010,Multifamily Housing,2 Rollins Street,376000,"Multifamily Housing, Retail Store",19740695.7,0.2791,0.729,,,,,,,89
Methunion,400790000,Multifamily Housing,465 Columbus Avenue,42998,"Multifamily Housing, Retail Store",5537094.5,0.1462,0.8538,,,,,,,34
