Property Name,Tax Parcel,Property Type,Address,Gross Area (sq ft),Property Uses,Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Onsite Renewable (kWh),ENERGY STAR Score
#2665 - West Roxbury,2009216400,Retail Store,1213 VFW Parkway,123596,Retail Store,10733299,0.497100874,0.460181916,,,,,,,51
#2679 - South Bay, 0703501080,Retail Store,5 Allstate Road,130520,Retail Store,9085993,0.499979901,0.457055503,,,,,,,71
00602-prudential,401037400,Supermarket/Grocery Store,53 Huntington Ave,42918,Supermarket/Grocery Store,14993662.6,0.62884134,0.317120655,,,,,,,66
045-Holiday Inn Express - South Boston,703436000,Hotel,69 R. Boston Street,58051,Hotel,6826951.3,0.466405912,0.493514565,,,,,,,41
046-Courtyard - Boston,703436001,Hotel,63 R. Boston Street,99213,Hotel,6688001.1,0.575308092,0.375254125,,,,,,,78
"06630-Boston, MA (Prudential Center)",401037100,Retail Store,786 Boylston Street,110000,Retail Store,11782260.4,0.758576333,0.00038193,0.175855246,,,,,,17
0733-Brighton - N. Beacon St.,2202708000,Self-Storage Facility,235 N. Beacon Street,27441,Self-Storage Facility,131577,0.920867218,,,,,,,,
1 Milk,304637010,Office,322 328 Washington St,44464,"Office, Retail Store",3387295.9,0.056545587,0.938595267,,,,,,,85
1 Palace Rd-collegeUniversity,401836000,College/University,1 Palace Rd,110327,College/University,14740963.2,0.920867422,,,,,,,,
10 Buick Street,2100401000,Residence Hall/Dormitory,10 Buick Street,384971,Residence Hall/Dormitory,52982353.7,0.395322482,0.570706405,,,,,,,14
10 City Square,203627000,Office,10 City Square,44000,"Office, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant",4658417.7,0.523718838,0.431276611,,,,,,,23
10 Coventry Street,901381010,College/University,10 Coventry Street,69739,College/University,2469891.3,0.445425452,0.516298025,,,,,,,
10 High St,304211000,Office,155 Federal St,116823,Office,Not Available,,,,,,,,,
10 PO Square,"0303879000, 0303880000,0303878000, 0303878010 ",Office,10 Post Office Square,438392,Office,32586786.7,0.519193217,0.436191133,,,,,,,80
10 Tremont Street,302854000,Office,10 Tremont Street,38000,Office,2099052.8,,,,,,,,,96
10/20 Channel Center,0602757030 0602757045,Office,10 Channel Center Street,261168,Office,30925692.5,0.920867412,,,,,,,,23
100 Arlington,500805000,Multifamily Housing,100 Arlington Street,203204,"Food Sales, Multifamily Housing",10490887.5,0.551694934,0.148645346,0.252251108,,,,,,45
100 Ashford Street,2100415000,Other - Stadium,100 Ashford Street,96292,Other - Stadium,10093352.2,0.391837652,0.574490693,,,,,,,
100 Bay State Road,504028000,Office,100 Bay State Road,123678,"Food Service, Office",17583759.3,0.51120661,0.444864051,,,,,,,
100 Clarendon Street Garage,401082001,Other,100 Clarendon Street,843168,"Bank Branch, Medical Office, Office, Other",15266431.1,0.879213097,0.045024092,0.000209708,,,,,,
100 East Newton Street (635 Albany) G Building,801295000,Medical Office,100 East Newton Street,89406,Medical Office,24973205.3,0.317297746,,0.655436016,,,,,,3
100 Federal St.,304410000,Office,100 Federal St.,1498161,"Data Center, Office, Other - Restaurant/Bar, Parking",110433369.8,0.49627792,,0.461075599,,,,,,75
100 Franklin Street,304666000,Office,100 Franklin Street,124055,"Bank Branch, Office",7516025.1,0.659237055,0.284112955,,,,,,,75
100 Guest Street,2201905030,Office,100 Guest Street ,296176,"Office, Other - Restaurant/Bar, Parking, Retail Store",32644854.9,0.499740416,0.457315563,,,,,,,59
100 High Street,304408000,Office,100 High Street,550326,"Data Center, Office, Parking",34141116.2,0.920867416,,,,,,,,
100 Holton St,2200966000,Office,100 Holton St,115577,Office,Not Available,,,,,,,,,
100 Northern Avenue,602671039,Office,100 Northern Avenue,572998,"Office, Parking, Restaurant",44834873,0.535086134,0.418932493,,,,,,,58
101 Arch Street,304597000,Office,101 Arch Street,473906,"Fast Food Restaurant, Food Service, Office, Parking, Restaurant",29241951,0.90888413,0.013013041,,,,,,,57
101 CHARLESTOWN,202920000,Multifamily Housing,55 Bunker Hill St.,800238,Multifamily Housing,99562927,0.219407568,0.761738156,,,,,,,15
101 Huntington Ave,401037101,Office,101 Huntington Ave,585345,"Office, Parking",45881815.7,0.435496659,0.042497758,0.484582196,,,,,,74
101 Merrimac Street,301675000,Office,101 Merrimac Street,159272,"Office, Parking",11127404.3,0.765029465,0.16922953,,,,,,,68
101 Seaport Boulevard,602643020,Office,101 Seaport Boulevard,620642,"Office, Parking",33374468.1,0.621383007,0.325219898,,,,,,,92
101 Summer Street,30457800,Office,101 Summer Street,48905,Office,3145530.5,0.688831896,0.251974953,,,,,,,64
101 Tremont,304717000,Office,101 Tremont Street,80344,Office,5168309.4,0.440719428,0.521408393,,,,,,,
1010 Massachusetts Ave,801023000,Office,1010 Massachusetts Ave,195000,Office,7760513.7,0.615997638,0.331068045,,,,,,,89
10-18 Buswell Street,2100201000,Multifamily Housing,10-18 Buswell Street,66456,Multifamily Housing,5906604.3,0.11198052,0.878396679,,,,,,,51
1019 Commonwealth Avenue,2100468000,Residence Hall/Dormitory,1019 Commonwealth Avenue,77750,Residence Hall/Dormitory,5475752.9,0.41401224,0.550410593,,,,,,,70
102-108 Columbia Rd,1400833000,Multifamily Housing,102-108 Columbia Rd,34821,Multifamily Housing,2736848.9,0.171262804,0.814020131,,,,,,,59
10-24 School Street,304718000,Office,10-24 School Street,134789,"Data Center, Office, Retail Store",8833155.4,0.499728354,2.26E-05,0.457306038,,,,,,85
103 CLAYTON STREET,1600579000,Office,103 CLAYTON STREET,40696,Office,2065452.6,0.473954538,0.485317359,,,,,,,75
104 LENOX,901447000,Multifamily Housing,136 Lenox St.,199545,Multifamily Housing,35308411.5,0.122581306,0.86688496,,,,,,,3
105 Magazine St,800487000,Other,105 Magazine St,5150,Other,Not Available,,,,,,,,,
10500002 - Boston,600006020,Distribution Center,100 Widett Circle,212584,Distribution Center,9355294.1,0.920867404,,,,,,,,80
105-129 Kingston Street,304421000,Office,2 24 Edinboro Street,75500,"Office, Retail Store",3799942.1,0.154825567,,0.831869833,,,,,,
106 CATHEDRAL,801209010,Multifamily Housing,1472 Washington St.,571440,Multifamily Housing,50281448.2,0.198248516,0.784715463,,,,,,,38
107 HEATH,1002333000,Multifamily Housing,30 Bickford Street,279963,Multifamily Housing,29234688.2,0.145320807,0.842191394,,,,,,,15
109 Brookline Ave. - Ste # 602030,2100071000,Office,109 BROOKLINE AVE,285556,"Office, Parking",44844086.7,0.869803362,0.055452123,,,,,,,25
1091 Boylston Street Condominium,504162000,Multifamily Housing,1091 Boylston,19161,Multifamily Housing,2885200.8,0.111262619,0.879176312,,,,,,,28
1098-Jamaica Plain,1102009000,Self-Storage Facility,3175 Washington Street,71057,Self-Storage Facility,2101363.4,0.626600084,0.319554438,,,,,,,
11 Beacon,302804000,Office,11 Beacon Street,146388,"Office, Other - Restaurant/Bar",10897797.7,0.334038714,0.637256452,,,,,,,82
11 Tetlow Street - Tetlow Realty Associates,401834000,Multifamily Housing,11 Tetlow Street,21779,Multifamily Housing,24087.4,,1,,,,,,,
110-112 Cummington Street,2100277000,College/University,110-112 Cummington Street,48901,College/University,62927.6,,1,,,,,,,
111 Cummington Street (664-666 Comm. Ave),2100282000,College/University,111 Cummington Street (664-666 Comm. Ave),93831,College/University,17895076.6,0.363451924,0.605315682,,,,,,,
111 Huntington Ave,401037500,Office,111 Huntington Ave,1034179,Office,83058462.1,0.554111693,0.002766726,0.39550529,,,,,,63
111 WHITTIER,902643000,Multifamily Housing,1158 Tremont St.,108472,Multifamily Housing,10283173.3,0.220383249,0.760678622,,,,,,,82
1126,703501030,Retail Store,14 Allstate Road,45261,Retail Store,2727412.5,0.676352778,0.265526392,,,,,,,55
114 ALICE TAYLOR,402043700,Multifamily Housing,260 Ruggles St.,389949,Multifamily Housing,33484080.6,0.238450455,0.741058863,,,,,,,24
114 Western Ave,2200268000,Office,114 Western Ave,70849,"Office, Other, Urgent Care/Clinic/Other Outpatient",Not Available,,,,,,,,,
1140 Boylston Street,401755000,College/University,1140 Boylston Street,66920,College/University,5942439.9,0.506272289,0.450222374,,,,,,,
1144-1160 Comm,2101579000,Multifamily Housing,1144-1160 Commonwealth ,49283,Multifamily Housing,17117147.1,0.096281455,0.895444831,,,,,,,
115 – West Roxbury,2005752010,Supermarket/Grocery Store,1800 Centre St,55929,"Parking, Supermarket/Grocery Store",18049787.2,0.56605122,0.385306482,,,,,,,58
115 Broad Street,304040000,Office,115 Broad Street,56025,Office,3246312.4,0.919420717,0.001571013,,,,,,,45
1157-1177 Comm Ave,2100772000 2100778000,Multifamily Housing,1157 Commonwealth Avenue,60000,Multifamily Housing,4971035.1,0.111802834,0.878589672,,,,,,,55
116 Huntington,401013010,Office,116 Huntington Ave,287141,"Office, Parking, Restaurant",18602997.6,0.92086742,,,,,,,,78
119,2201867000,Office,119 Braintree Street,140388,"Office, Parking",5230818.4,0.46184943,0.498462592,,,,,,,96
119 BROMLEY PARK,1001851000,Multifamily Housing,30 Bickford St.,588634,Multifamily Housing,54731421.1,0.131666974,0.857018534,,,,,,,66
12 Farnsworth,602665000,Office,12 Farnsworth Street,57108,"Office, Retail Store",8442373.5,0.541290918,0.412194485,,,,,,,63
120 Ashford Street,2100414000,Distribution Center,120 Ashford Street,65198,"Distribution Center, Office, Parking",8134038.5,0.277378302,0.698785837,,,,,,,8
120 Fulton St,303474000,Multifamily Housing,120 Fulton St,37522,Multifamily Housing,2377412.2,0.447462434,0.514085988,,,,,,,33
120 Herald Street,500515000,Other,120 Herald Street,115680,"Other, Parking",168508.1,0.920867542,,,,,,,,
1200 Commonwealth Ave,2101571000,Multifamily Housing,1200 Commonwealth Avenue,33824,Multifamily Housing,1794117.6,0.594637763,0.354263455,,,,,,,76
121 - Roche Bros.,304585010,Supermarket/Grocery Store,10 Summer St,37000,Supermarket/Grocery Store,7411951.9,0.827873114,0.100985545,,,,,,,35
123 ME MCCORMACK,702853000,Multifamily Housing,10 Kemp St.,859162,Multifamily Housing,130472644.9,0.151275646,0.835724836,,,,,,,1
1230 Washington St,306443000,Manufacturing/Industrial Plant,1234 Washington St,60990,Manufacturing/Industrial Plant,1751593.2,0.103582004,0.887516976,,,,,,,
1234 Soldiers Field Road,2200562002,Hotel,1234 Soldiers Field Road,58550,"Hotel, Parking",4225235.9,0.090498677,0.90172454,,,,,,,96
124 OLD COLONY,700538010,Multifamily Housing,265 East 9th St.,334068,Multifamily Housing,32843461.6,0.256214689,0.721768098,,,,,,,16
1249 Boylston Street,504205000,Office,1249 Boylston Street,37495,"Office, Retail Store",3956917.6,0.600611484,0.347776411,,,,,,,
125 High St.,304102000,Office,125 High Street,1511250,"Office, Parking",81766096.7,0.920867415,,,,,,,,78
125 Lincoln Street,304334000,Mixed Use Property,125 Lincoln Street,57813,"Office, Other, Parking, Supermarket/Grocery Store",5492515.1,0.455081567,0.505812046,,,,,,,67
125 Magazine St,800495010,Office,125 Magazine St,8100,Office,468597.5,0.327700413,0.64413916,,,,,,,68
125 Quincy St,1300741010,Multifamily Housing,125 Quincy St,4284,Multifamily Housing,335929.1,0.18093696,0.803514789,,,,,,,
125 Summer Street,304256000,Office,125 Summer Street,521903,"Data Center, Office, Parking",30993932.5,0.920867413,,,,,,,,72
1255 Boylston Street,504206000,Retail Store,1255 Boylston Street,32776,"Office, Retail Store",2473050.9,0.841657901,0.086016264,,,,,,,22
126 Brookline Ave,504328000,Retail Store,126 Brookline Ave,61406,"Office, Retail Store",15343537.5,0.38252599,0.58460254,,,,,,,1
126 Newbury St,501320000,Retail Store,126 Newbury St,49896,Retail Store,1695857.1,0.920867367,,,,,,,,90
1277 Commonwealth Ave,2101025000,Multifamily Housing,1277 Comonwealth Ave,63287,Multifamily Housing,2252159.9,0.288451813,0.686760651,,,,,,,100
1284 Soldiers Field Road,2200566000,Office,1284 Soldiers Field Road,36383,Office,Not Available,,,,,,,,,
129 Quincy St,1300741010,Multifamily Housing,129 Quincy St,4284,Multifamily Housing,279827.4,0.10425523,0.886785926,,,,,,,
129-135 Columbia Rd,1401065000,Multifamily Housing,129-135 Columbia Road,66400,Multifamily Housing,4205177.9,0.179611687,0.80495384,,,,,,,73
1295 Boylston - Ste# 535088,504210010,Office,1295 BOYLSTON ST,130751,"Office, Parking, Retail Store",20881629.9,0.681717628,0.255735358,,,,,,,13
131 Dartmouth Street,400572000,Office,131 Dartmouth Street,379000,"Data Center, Office, Parking",6794185.6,0.920867434,,,,,,,,100
1315 Commonwealth Avenue,2101038000,Multifamily Housing,1315 Commonwealth Avenue,37182,Multifamily Housing,311720.3,0.920867585,,,,,,,,100
"1330 Boylston Street Properties, LLC",504314014,Multifamily Housing,1330 Boylston Street,350714,"Multifamily Housing, Office, Parking, Retail Store",18213726.3,0.541459661,0.41201127,,,,,,,77
136 Mass Ave,401373001,College/University,150 Mass Ave,36500,College/University,632008,0.92086728,,,,,,,,
137 Englewood Avenue,2102331000,Multifamily Housing,137 Englewood Avenue,56239,Multifamily Housing,2459846.1,0.288339454,0.68688285,,,,,,,100
137 Newbury Street,501339000,Office,137 Newbury St.,57986,Office,4062674.1,0.515453773,0.440251902,,,,,,,60
137 Park Drive - Gilbert Realty Trust,504277000,Multifamily Housing,137 Park Drive,31092,Multifamily Housing,72145.1,0.765890019,0.16829556,,,,,,,100
1380 Soldiers Field Rd,2200578000,Office,1380 Soldiers Field Rd,76962,"Medical Office, Office, Parking",Not Available,,,,,,,,,
14 Beacon Street LLC,304692050,Office,14 Beacon Street,88203,"Library, Office",4517895.5,0.241778181,0.737445145,,,,,,,88
1-4 Maple Court,002424-000,Multifamily Housing,"1 Maple Court, Suite B",121944,"Multifamily Housing, Office, Social/Meeting Hall",4022247.7,0.042681074,0.953651238,,,,,,,
140 Bay State Road,504003000,Residence Hall/Dormitory,140 Bay State Road,128887,Residence Hall/Dormitory,11698500.1,0.229950243,0.750289535,,,,,,,59
140 Clarendon,401085000,Mixed Use Property,140 Clarendon Street,193965,"Hotel, Multifamily Housing, Office, Other, Other - Lodging/Residential",15772850.2,0.509163754,,0.447082443,,,,,,
140 The Fenway,401706000,College/University,140 The Fenway,148145,College/University,31381893.8,0.418432225,0.545610785,,,,,,,
1400 Comm. Ave Condominium Trust,2101414000,Multifamily Housing,1394-1408 Commonwealth Ave,50220,Multifamily Housing,4155451.1,0.149952023,0.006641878,,,,,,,57
141 tremont street,304800000,Office,141 tremont street,64884,Office,5373406.4,0.920562569,0.000331038,,,,,,,36
142 Berkeley Street,401146000,Office,140-144 Berkeley Street,120000,"Office, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant, Retail Store",9814940.2,0.238335837,,,,,,,,84
143 Park Drive - Gilbert Realty Trust,504278000,Multifamily Housing,143 Park Drive,33492,Multifamily Housing,111396,0.661705268,0.281432906,,,,,,,100
144-148 Geneva Ave,1400076000,Multifamily Housing,144-148 Geneva Ave,34944,Multifamily Housing,2373044.2,0.220620431,0.760421108,,,,,,,62
144-162 (170) Charles Street,502444000,Other,144-162 Charles Street,48544,"Other, Parking",2346917.9,0.640634575,0.304314011,,,,,,,
145 Newton Street,2203428000,Manufacturing/Industrial Plant,145 Newton Street,110510,Manufacturing/Industrial Plant,828147.8,,1,,,,,,,
145 Tremont,304824000,Office,144 Tremont Street,42007,Office,1586068.2,0.920867328,,,,,,,,71
1460 House,1500551012,Multifamily Housing,1460 Dorchester Avenue,24573,Multifamily Housing,1265933.1,0.246332415,0.732499608,,,,,,,98
147 Milk Street,304027000,Office,147 Milk Street ,52337,Office,5348255.6,0.549377177,,0.403413386,,,,,,
14WBL-Element Seaport Boston,602839010,Hotel,391-395 D Street,116331,Hotel,7824547.2,0.555170684,0.397122034,,,,,,,84
15 Bismarck,1801935000,Office,15 Bismark Street,3200,Office,266759.9,0.373504271,,,,,,,,29
15 Broad st,303836000,Office,15 Broad St,83845,Office,6237650,0.305408707,0.668346701,,,,,,,80
15 Guest Street,2201907000,Office,15 Guest Street,115551,"Office, Parking",5078983,0.92086742,,,,,,,,92
150 Mass Ave,401372001,College/University,150 Mass Ave,216000,College/University,23352384.4,0.431664446,0.531241478,,,,,,,
150 Mt Vernon: 150 Mount Vernon Street,1303448200,Office,150 Mount Vernon Street,129800,Office,8763110.6,0.83517985,0.093050931,,,,,,,44
15-27 Highland Ave,903516000,Multifamily Housing,15-27 Highland Ave,35778,Multifamily Housing,5705605.3,0.079671676,0.91348194,,,,,,,3
155 Federal Street,304210000,Office,155 Federal St,190941,Office,4287519.2,0.92086738,,,,,,,,97
157 Washington St,1401034000,Multifamily Housing,157 Washington St,22386,"Multifamily Housing, Parking",1710075.2,0.279991335,0.695948342,,,,,,,55
158 WEST NEWTON,900475000,Multifamily Housing,94 West Newton St.,108000,Multifamily Housing,6504053.4,0.920867422,,,,,,,,6
1597 Washington Street Condo,900400050,Multifamily Housing,1597 Washington Street,33828,Multifamily Housing,8348839.3,0.656039873,0.287584886,,,,,,,1
160 Mass Ave,401312000,Residence Hall/Dormitory,160 Mass Ave,176000,Residence Hall/Dormitory,Not Available,,,,,,,,,
1607 Commonwealth Ave,2101916000,Multifamily Housing,1607 Commonwealth Ave,24000,Multifamily Housing,2094256.7,0.190331752,0.793312587,,,,,,,73
1619 Comm Ave,2102649000,Multifamily Housing,1619 Commonwealth Avenue,30456,Multifamily Housing,1690000,,1,,,,,,,
1-63 Foodmart Road,801024010,Manufacturing/Industrial Plant,1-63 Foodmart Road,176566,Manufacturing/Industrial Plant,26999789,0.344004279,0.626434521,,,,,,,
1691 Comm. Ave,2101929000,Multifamily Housing,1691 Commonwealth Ave,29049,Multifamily Housing,3024815.2,0.097992762,0.027208274,,,,,,,35
16WDP-Aloft Seaport Boston,602839010,Hotel,401 - 403 D Street,198720,Hotel,16421081.3,0.571588907,0.37929294,,,,,,,59
170 Parkside Condominium Trust,304842000,Multifamily Housing,170 Tremont St ,96696,"Multifamily Housing, Parking",7108242.4,0.468857183,0.490852675,,,,,,,42
170 Shawmut Ave,30616000,Manufacturing/Industrial Plant,170 Shawmut Avenue,52224,Manufacturing/Industrial Plant,2912607.2,0.249744801,0.728793914,,,,,,,
172-The Boxer (Bulfinch) Hotel,301676000,Hotel,107 Merrimac Street,47420,Hotel,5460244.8,0.298213588,0.676160105,,,,,,,56
174 RUTLAND,900540000,Multifamily Housing,62 Rutland St.,11200,Multifamily Housing,718676.3,0.281465069,0.694347928,,,,,,,
175 Berkeley St. (0001),0501153000 0501155000,Office,175 Berkeley St.,522349,"Office, Parking, Restaurant",34119772.7,0.56570107,0.385686734,,,,,,,78
175 Federal Street,304231000,Office,175 Federal Street`,227365,"Bank Branch, Office",14265148,0.920867409,,,,,,,,53
175 McClellan HWY,00548-100,Mixed Use Property,144 Addison St,405215,"Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office, Other, Parking, Worship Facility",9311058.6,0.320354056,0.652117064,,,,,,,
175 North Harvard Street Building,2200534000,Parking,175 North Harvard Street,39709,Parking,Not Available,,,,,,,,,
176 Federal Street,304379000,Office,176 Federal Street,76323,"Office, Restaurant, Retail Store",8031073.3,0.920867429,,,,,,,,
176 Lincoln St,2200969000,Office,176 Lincoln St,450000,Office,Not Available,,,,,,,,,
177 Huntington Ave.,401150010,Office,177 Huntington Ave.,247733,Office,37881390.7,0.290161002,,0.684904691,,,,,,21
177 Milk Street,303940000,Office,177 Milk Street,73339,Office,6342413.3,0.399860622,0.565778282,,,,,,,51
178-179 Tremont Street,304884000,Office,178-179 Tremont Street,50600,Office,6021872.8,0.457948608,0.502698662,,,,,,,49
178-180 Columbia Rd,1400707000,Multifamily Housing,180 Columbia Road,35308,Multifamily Housing,2314690.5,0.153580863,0.833221547,,,,,,,78
179 Lincoln Street,0305332-000,Office,179 Lincoln Street,236461,"Office, Parking",16497935.4,0.55855582,0.393445982,,,,,,,81
179 Longwood Ave-collegeUniversity,401844000,College/University,179 Longwood Ave,347844,College/University,37166632.9,0.070288427,0.923671501,,,,,,,
180 beacon condominium trust,502598000,Multifamily Housing,180 beacon street,180000,"Multifamily Housing, Parking",9559474,0.174384317,0.810630365,,,,,,,96
180 NB - Glencoe Street,2202115000,Multifamily Housing,180 North Beacon Street,32955,Multifamily Housing,97706,0.920867828,,,,,,,,100
182 COMMONWEALTH,2101831100,Multifamily Housing,35 Fidelis Way,465238,Multifamily Housing,29861635,0.198605331,0.784327985,,,,,,,79
186 Lincoln Street,305340010,Office,186 Lincoln Street,74160,Office,3654252.3,0.459472532,0.043901129,,,,,,,80
189 FRANKLIN FIELD,1402862000,Multifamily Housing,91 Ames St.,402572,Multifamily Housing,46705255.6,0.232914032,0.747071045,,,,,,,26
19 Hampden,802130000,Manufacturing/Industrial Plant,19 Hampden St,35470,Manufacturing/Industrial Plant,2267149.5,0.206274012,0.776000348,,,,,,,
191 Commonwealth Ave,502952000,Multifamily Housing,191 Commonwealth Ave,24000,Multifamily Housing,2684222,0.058412605,0.936567877,,,,,,,
193 HIGHLAND PARK,903491000,Multifamily Housing,50-68 Highland Ave.,12685,Multifamily Housing,3126361.7,0.136988718,0.851239478,,,,,,,
1930-1960 Beacon St,2102396000,Multifamily Housing,1930-1960 Beacon St,44954,"Multifamily Housing, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant, Retail Store",4447566.3,0.117505799,0.872396618,,,,,,,
1960-1980 Commonwealth Ave.,02469-000,Multifamily Housing,"1960,1970,1980 Commonwealth Ave.",141204,Multifamily Housing,13604668.7,0.084018502,0.908761578,,,,,,,44
198 Geneva Avenue,1400038000,Office,198 Geneva Avenue,60000,Office,5319192.9,0.398814736,0.566914033,,,,,,,83
2 - 12 Dudley Terrace,703926000,Multifamily Housing,2 Dudley Ter.,14861,Multifamily Housing,961405.4,0.054950376,0.940327566,,,,,,,
2 Alger Street,700027001,Self-Storage Facility,2 Alger Street,42800,Self-Storage Facility,3046971.2,0.320820103,0.651611016,,,,,,,
2 Atlantic,303030010,Office,2 Atlantic Avenue,68035,"Office, Parking",9440374.9,0.456511142,0.504259635,,,,,,,22
2 Bismarck Street,1801980000,Multifamily Housing,15 Bismark Street,14400,Multifamily Housing,1176549.1,0.217556728,,,,,,,,
2 Boylston Place,304908000,Residence Hall/Dormitory,2 Boylston Place,103963,Residence Hall/Dormitory,7454086.7,0.508871415,,0.447399894,,,,,,58
2 Cummington Street (23-25 Blandford Street),2100295000,Laboratory,2 Cummington Street (23-25 Blandford Street),61754,Laboratory,7895881.5,0.493640638,0.463939498,,,,,,,
2 Oliver St.,304026000,Office,2 Oliver St.,233763,Office,9058458.6,0.78163359,0.15119856,,,,,,,89
2 Park Plaza,500020000,Retail Store,2 Park Plaza,39000,"Office, Retail Store",781692.6,0.920867541,,,,,,,,100
2 Sewall Ave (233 Harvard),,Other,10 Sewall Avenue,29017,Other,445822.2,0.920867435,,,,,,,,
20 City Hall Ave,302865000,Office,20 City Hall Ave,9680,Office,1329374.5,0.062389774,0.269985621,0.662263267,,,,,,25
20 Custom House,303998000,Office,20 Custom House,96032,Office,11458280.4,0.920867418,,,,,,,,41
20 Fairlawn,1801935000,Multifamily Housing,15 Bismark Street,50000,Multifamily Housing,2489874.2,0.231932959,,,,,,,,91
20 Guest Street,01906-012,Office,20 Guest Street,218104,Office,10822019.9,0.865014962,0.060652005,,,,,,,
20 Radcliffe Rd,2100964001,Multifamily Housing,20 Radcliffe Rd,36552,Multifamily Housing,2186744.6,0.214576105,0.766984768,,,,,,,83
20 Winthrop Square/ 77-93 Franklin Street/80 Arch Street,0304615000 0304617000  0304616000 ,Office,20 Winthrop Square/ 77-93 Franklin Street/80 Arch Street,118000,Office,9362282.8,0.437013694,,0.525432547,,,,,,
200 Clarendon Street,401134000,Office,200 Clarendon Street,2039467,"Office, Parking",198912817.3,0.480396074,,0.478322213,,,,,,64
200 High Street,304044000,Office,200 High Street,96393,"Bar/Nightclub, Office, Restaurant, Retail Store",10339249.1,0.729564243,0.207742359,,,,,,,
200 Newbury Street,503201000,Retail Store,200 Newbury Street,48000,"Office, Parking, Retail Store",2176688.6,0.920867472,,,,,,,,52
200 State Street,303790002,Office,200 State Street,365702,"Office, Parking",28550811.1,0.920867417,,,,,,,,47
201 Newbury,503228000,Multifamily Housing,201 Newbury Street,66858,"Lifestyle Center, Multifamily Housing",3417182.7,0.920867377,,,,,,,,
201-207 South Street,305348000,Office,201-207 South Street,85103,Office,5322175.9,0.372305662,0.59570113,,,,,,,71
2014 Columbus Ave,1101626000,Multifamily Housing,2014 Columbus Ave,8640,Multifamily Housing,687102.5,0.409706895,0.555086032,,,,,,,
2018 Columbus Ave,1101626000,Multifamily Housing,2018 Columbus Ave,8640,Multifamily Housing,685771.5,0.528068536,0.426553159,,,,,,,
2018 Commonwealth Avenue,2102462000,Multifamily Housing,2018 Commonwealth Avenue,19824,Multifamily Housing,263063.1,0.920867711,,,,,,,,100
2020-2030 Columbus Ave,1101626000,Multifamily Housing,2020-2030 Columbus Ave,21440,Multifamily Housing,1813139.6,0.452215613,0.508924409,,,,,,,
20-28 Cummington Street (24 Cummington St),2100288000,Laboratory,20-28 Cummington Street (24 Cummington St),188575,Laboratory,61003166.1,0.533891448,0.420229838,,,,,,,
208-212 Newbury St.,503227000,Retail Store,208-212 Newbury st.,31997,Retail Store,380233.3,0.920867478,,,,,,,,
21 Custom House,303988000,Office,21 Custom House Street,105197,"Office, Parking",8290337.6,0.920867425,,,,,,,,56
211 Congress Street,304398000,Office,211 Congress Street,78101,Office,6989571.6,0.393687915,0.572481424,,,,,,,52
213-217 Bay State Road,504079000,Worship Facility,213-217 Bay State Road,130204,Worship Facility,4322021,0.416010047,0.548241066,,,,,,,
216 Tremont,304909000,College/University,216 Tremont Street,45388,College/University,3515047.2,0.463671183,,0.496484286,,,,,,
217 231 Friend Street,301593000,Office,225 Friend Street,60000,"Office, Parking",1889499189,0.001114121,,0.99879014,,,,,,1
2-22 Foodmart Road,801024020,Manufacturing/Industrial Plant,2-22 Foodmart Road,111280,"Manufacturing/Industrial Plant, Parking",20407283.5,0.841782316,0.085881092,,,,,,,
22-24 Buswell Street,2100199000,Multifamily Housing,22-24 Buswell Street,35036,Multifamily Housing,2164240.7,0.121965437,0.86755378,,,,,,,91
223-225 Columbia Rd,1400064000,Multifamily Housing,223-225 Columbia Road,12702,Multifamily Housing,1073376.9,0.152220794,0.834698418,,,,,,,
225 Centre LLC,1100896020,Multifamily Housing,225 Centre St,105949,"Multifamily Housing, Parking, Retail Store",7341575,0.188643898,0.795145456,,,,,,,90
225 Franklin Street,304134000,Office,225 Franklin Street,1045851,"Data Center, Office, Parking",79120026.6,0.557577012,,0.394508912,,,,,,70
226 POND STREET,1902006000,Multifamily Housing,29 Pond St.,28000,Multifamily Housing,5258308.3,0.136486082,0.851785298,,,,,,,1
227 ANNAPOLIS,1301797000,Multifamily Housing,52 Summer St.,57800,Multifamily Housing,4704015.4,0.167543863,0.818058631,,,,,,,35
228 ASHMONT,1603120000,Multifamily Housing,374 Ashmont St,21600,Multifamily Housing,5837437.3,0.11208026,0.878288354,,,,,,,1
229 HOLGATE,1202342000,Multifamily Housing,129 Elm Hill Ave.,63162,Multifamily Housing,9800796,0.126466898,0.862665471,,,,,,,1
230 FOLEY,701516000,Multifamily Housing,199 H St.,84224,Multifamily Housing,7452270.1,0.258416044,0.719377563,,,,,,,36
232 GROVELAND,1800112000,Multifamily Housing,15 Mary Moore Beatty Circle,36000,Multifamily Housing,1748247.1,0.920867317,,,,,,,,27
23-29 Mt Pleasant Ave,802573000,Multifamily Housing,23-29 Mount Pleasant Avenue,15716,Multifamily Housing,1366348.6,0.056028999,0.939156376,,,,,,,
